source_pdf,appendix,table_no,table_type,age_range_label,age_min_months,age_max_months,source_pages,scale_code,raw_score,raw_score_min,raw_score_max,raw_score_range_text,development_age_months_label,development_age_months,development_age_comparator,composite_code,composite_name,standard_score_sum,standard_score_sum_label,value_text,value_comparator,value_number,ocr_status,ocr_raw_candidates
PEP-3常模(2025).pdf,附表1,1,development_age_raw_score_range,,,,2,CVP,,,13,<14,<12,,<,,,,,<14,,,OCR草稿，需人工校对,<14
PEP-3常模(2025).pdf,附表1,1,development_age_raw_score_range,,,,2,EL,,,1,<2,<12,,<,,,,,<2,,,OCR草稿，需人工校对,<2
PEP-3常模(2025).pdf,附表1,1,development_age_raw_score_range,,,,2,RL,,,16,<17,<12,,<,,,,,<17,,,OCR草稿，需人工校对,<17
PEP-3常模(2025).pdf,附表1,1,development_age_raw_score_range,,,,2,FM,,,17,<18,<12,,<,,,,,<18,,,OCR草稿，需人工校对,<18
PEP-3常模(2025).pdf,附表1,1,development_age_raw_score_range,,,,2,GM,,,20,<21,<12,,<,,,,,<21,,,OCR草稿，需人工校对,<21
PEP-3常模(2025).pdf,附表1,1,development_age_raw_score_range,,,,2,VMI,,,8,<9,<12,,<,,,,,<9,,,OCR草稿，需人工校对,<9
PEP-3常模(2025).pdf,附表1,1,development_age_raw_score_range,,,,2,PSC,,,1,<2,<12,,<,,,,,<2,,,OCR草稿，需人工校对,<2
PEP-3常模(2025).pdf,附表1,1,development_age_raw_score_range,,,,2,CVP,,14,14,14,12,12,=,,,,,14,,,OCR草稿，需人工校对,14-15
PEP-3常模(2025).pdf,附表1,1,development_age_raw_score_range,,,,2,EL,,2,2,2,12,12,=,,,,,2,,,OCR草稿，需人工校对,2-3
PEP-3常模(2025).pdf,附表1,1,development_age_raw_score_range,,,,2,RL,,17,17,17,12,12,=,,,,,17,,,OCR草稿，需人工校对,17
PEP-3常模(2025).pdf,附表1,1,development_age_raw_score_range,,,,2,FM,,18,18,18,12,12,=,,,,,18,,,OCR草稿，需人工校对,18-19
PEP-3常模(2025).pdf,附表1,1,development_age_raw_score_range,,,,2,GM,,21,21,21,12,12,=,,,,,21,,,OCR草稿，需人工校对,21
PEP-3常模(2025).pdf,附表1,1,development_age_raw_score_range,,,,2,VMI,,9,9,9,12,12,=,,,,,9,,,OCR草稿，需人工校对,9
PEP-3常模(2025).pdf,附表1,1,development_age_raw_score_range,,,,2,PSC,,2,2,2,12,12,=,,,,,2,,,OCR草稿，需人工校对,2
PEP-3常模(2025).pdf,附表1,1,development_age_raw_score_range,,,,2,CVP,,16,16,16,13,13,=,,,,,16,,,OCR草稿，需人工校对,16
